x,y,ConstructionSite,category,area,structure_name
1,1,0,0,0,Empty
1,2,0,0,0,Empty
1,3,0,0,0,Empty
1,4,0,2,0,Building
1,5,0,0,0,Empty
1,6,0,0,0,Empty
1,7,0,0,0,Empty
2,1,0,0,0,Empty
2,2,0,0,0,Empty
2,3,0,0,0,Empty
2,4,0,0,0,Empty
2,5,0,0,0,Empty
2,6,1,0,0,Empty
2,7,1,0,0,Empty
3,1,0,0,0,Empty
3,2,0,0,0,Empty
3,3,0,0,0,Empty
3,4,0,0,0,Empty
3,5,0,0,0,Empty
3,6,0,0,0,Empty
3,7,0,0,0,Empty
4,1,0,0,0,Empty
4,2,0,0,0,Empty
4,3,0,0,0,Empty
4,4,1,0,0,Empty
4,5,1,0,0,Empty
4,6,1,0,0,Empty
4,7,0,0,0,Empty
5,1,0,0,0,Empty
5,2,0,0,0,Empty
5,3,0,0,0,Empty
5,4,1,0,0,Empty
5,5,1,1,0,Apartment
5,6,1,0,0,Empty
5,7,0,0,0,Empty
6,1,0,0,0,Empty
6,2,0,0,0,Empty
6,3,0,0,0,Empty
6,4,1,0,0,Empty
6,5,1,0,0,Empty
6,6,1,0,0,Empty
6,7,0,0,0,Empty
7,1,0,0,0,Empty
7,2,0,0,0,Empty
7,3,0,0,0,Empty
7,4,1,0,0,Empty
7,5,1,0,0,Empty
7,6,1,0,0,Empty
7,7,0,0,0,Empty
1,8,0,0,1,Empty
1,9,0,0,1,Empty
1,10,0,0,1,Empty
1,11,0,0,1,Empty
1,12,0,0,1,Empty
1,13,0,1,1,Apartment
1,14,0,2,1,Building
1,15,0,0,1,Empty
2,8,1,0,1,Empty
2,9,1,0,1,Empty
2,10,0,0,1,Empty
2,11,0,0,1,Empty
2,12,0,4,1, BandalgomCoffee
2,13,0,0,1,Empty
2,14,0,1,1,Apartment
2,15,0,0,1,Empty
3,8,1,0,1,Empty
3,9,1,0,1,Empty
3,10,0,0,1,Empty
3,11,0,0,1,Empty
3,12,0,4,1, BandalgomCoffee
3,13,0,0,1,Empty
3,14,0,2,1,Building
3,15,0,0,1,Empty
4,8,1,0,1,Empty
4,9,1,0,1,Empty
4,10,0,0,1,Empty
4,11,0,0,1,Empty
4,12,0,0,1,Empty
4,13,0,0,1,Empty
4,14,0,0,1,Empty
4,15,0,0,1,Empty
5,8,1,0,1,Empty
5,9,1,0,1,Empty
5,10,0,0,1,Empty
5,11,0,0,1,Empty
5,12,0,0,1,Empty
5,13,0,0,1,Empty
5,14,0,0,1,Empty
5,15,0,0,1,Empty
6,8,1,0,1,Empty
6,9,1,0,1,Empty
6,10,0,0,1,Empty
6,11,0,0,1,Empty
6,12,0,0,1,Empty
6,13,0,0,1,Empty
6,14,0,0,1,Empty
6,15,0,0,1,Empty
7,8,1,0,1,Empty
7,9,1,0,1,Empty
7,10,1,0,1,Empty
7,11,1,0,1,Empty
7,12,1,0,1,Empty
7,13,0,0,1,Empty
7,14,0,0,1,Empty
7,15,0,0,1,Empty
8,1,0,0,2,Empty
8,2,0,0,2,Empty
8,3,0,0,2,Empty
8,4,0,0,2,Empty
8,5,0,0,2,Empty
8,6,0,0,2,Empty
8,7,0,0,2,Empty
9,1,0,0,2,Empty
9,2,0,0,2,Empty
9,3,0,0,2,Empty
9,4,1,0,2,Empty
9,5,1,0,2,Empty
9,6,1,0,2,Empty
9,7,0,0,2,Empty
10,1,0,0,2,Empty
10,2,0,0,2,Empty
10,3,0,0,2,Empty
10,4,1,0,2,Empty
10,5,1,0,2,Empty
10,6,1,0,2,Empty
10,7,0,0,2,Empty
11,1,0,0,2,Empty
11,2,0,0,2,Empty
11,3,0,0,2,Empty
11,4,1,0,2,Empty
11,5,1,0,2,Empty
11,6,1,0,2,Empty
11,7,0,0,2,Empty
12,1,0,0,2,Empty
12,2,0,2,2,Building
12,3,0,0,2,Empty
12,4,1,0,2,Empty
12,5,1,0,2,Empty
12,6,1,0,2,Empty
12,7,0,0,2,Empty
13,1,0,0,2,Empty
13,2,0,0,2,Empty
13,3,0,0,2,Empty
13,4,1,0,2,Empty
13,5,1,0,2,Empty
13,6,1,0,2,Empty
13,7,0,0,2,Empty
14,1,0,0,2,Empty
14,2,0,3,2,MyHome
14,3,0,0,2,Empty
14,4,1,0,2,Empty
14,5,1,1,2,Apartment
14,6,1,0,2,Empty
14,7,0,0,2,Empty
15,1,0,0,2,Empty
15,2,0,0,2,Empty
15,3,0,0,2,Empty
15,4,1,0,2,Empty
15,5,1,0,2,Empty
15,6,1,0,2,Empty
15,7,0,0,2,Empty
8,8,1,0,3,Empty
8,9,1,0,3,Empty
8,10,1,0,3,Empty
8,11,1,1,3,Apartment
8,12,1,0,3,Empty
8,13,0,0,3,Empty
8,14,0,0,3,Empty
8,15,0,0,3,Empty
9,8,1,0,3,Empty
9,9,1,0,3,Empty
9,10,1,0,3,Empty
9,11,1,0,3,Empty
9,12,1,0,3,Empty
9,13,0,0,3,Empty
9,14,0,0,3,Empty
9,15,0,0,3,Empty
10,8,0,0,3,Empty
10,9,0,0,3,Empty
10,10,0,0,3,Empty
10,11,0,0,3,Empty
10,12,0,0,3,Empty
10,13,0,0,3,Empty
10,14,0,0,3,Empty
10,15,0,0,3,Empty
11,8,0,0,3,Empty
11,9,1,0,3,Empty
11,10,1,0,3,Empty
11,11,0,0,3,Empty
11,12,0,0,3,Empty
11,13,0,0,3,Empty
11,14,0,0,3,Empty
11,15,0,0,3,Empty
12,8,1,0,3,Empty
12,9,1,0,3,Empty
12,10,0,0,3,Empty
12,11,0,0,3,Empty
12,12,0,0,3,Empty
12,13,0,0,3,Empty
12,14,0,0,3,Empty
12,15,0,0,3,Empty
13,8,1,0,3,Empty
13,9,1,0,3,Empty
13,10,0,0,3,Empty
13,11,0,0,3,Empty
13,12,0,0,3,Empty
13,13,0,0,3,Empty
13,14,0,0,3,Empty
13,15,0,0,3,Empty
14,8,1,0,3,Empty
14,9,1,0,3,Empty
14,10,0,0,3,Empty
14,11,0,0,3,Empty
14,12,0,0,3,Empty
14,13,0,0,3,Empty
14,14,0,0,3,Empty
14,15,0,0,3,Empty
15,8,1,0,3,Empty
15,9,1,0,3,Empty
15,10,0,0,3,Empty
15,11,0,0,3,Empty
15,12,0,0,3,Empty
15,13,0,0,3,Empty
15,14,0,0,3,Empty
15,15,0,0,3,Empty
